image,caption
1022454428_b6b660a67b.jpg,startseq man and woman care for an infant along the side of body of water endseq
1022454428_b6b660a67b.jpg,startseq couple with baby sit outdoors next to their stroller endseq
1022975728_75515238d8.jpg,startseq black dog running in the surf endseq
1022975728_75515238d8.jpg,startseq black lab with tags frolicks in the water endseq
1022975728_75515238d8.jpg,startseq dog splashes in the water endseq
1022975728_75515238d8.jpg,startseq the black dog runs through the water endseq
1022975728_75515238d8.jpg,startseq this is black dog splashing in the water endseq
102351840_323e3de834.jpg,startseq man drilling hole in the ice endseq
102351840_323e3de834.jpg,startseq man is drilling through the frozen ice of pond endseq
102351840_323e3de834.jpg,startseq person in the snow drilling hole in the ice endseq
102351840_323e3de834.jpg,startseq person standing on frozen lake endseq
102351840_323e3de834.jpg,startseq two men are ice fishing endseq
1024138940_f1fefbdce1.jpg,startseq two different breeds of brown and white dogs play on the beach endseq
1024138940_f1fefbdce1.jpg,startseq two dogs are making turn on soft sand beach endseq
1024138940_f1fefbdce1.jpg,startseq two dogs playing in the sand at the beach endseq
1024138940_f1fefbdce1.jpg,startseq two dogs playing together on beach endseq
1024138940_f1fefbdce1.jpg,startseq two large tan dogs play along sandy beach endseq
102455176_5f8ead62d5.jpg,startseq man uses ice picks and crampons to scale ice endseq
102455176_5f8ead62d5.jpg,startseq an ice climber in blue jacket and black pants is scaling frozen ice wall endseq
102455176_5f8ead62d5.jpg,startseq an ice climber scaling frozen waterfall endseq
102455176_5f8ead62d5.jpg,startseq person in blue and red ice climbing with two picks endseq
102455176_5f8ead62d5.jpg,startseq climber climbing an ice wall endseq
1026685415_0431cbf574.jpg,startseq black dog carries green toy in his mouth as he walks through the grass endseq
1026685415_0431cbf574.jpg,startseq black dog carrying something through the grass endseq
1026685415_0431cbf574.jpg,startseq black dog has blue toy in its mouth endseq
1026685415_0431cbf574.jpg,startseq dog in grass with blue item in his mouth endseq
1026685415_0431cbf574.jpg,startseq wet black dog is carrying green toy through the grass endseq
1028205764_7e8df9a2ea.jpg,startseq man and baby are in yellow kayak on water endseq
1028205764_7e8df9a2ea.jpg,startseq man and little boy in blue life jackets are rowing yellow canoe endseq
1028205764_7e8df9a2ea.jpg,startseq man and child kayak through gentle waters endseq
1028205764_7e8df9a2ea.jpg,startseq man and young boy ride in yellow kayak endseq
1028205764_7e8df9a2ea.jpg,startseq man and child in yellow kayak endseq
1030985833_b0902ea560.jpg,startseq black dog and brown dog are jumping up to catch red toy endseq
1030985833_b0902ea560.jpg,startseq black dog and brown dog play with red toy on courtyard endseq
1030985833_b0902ea560.jpg,startseq brown and black lab are outside and the black lab is catching toy in its mouth endseq
1030985833_b0902ea560.jpg,startseq black dog snaps at red and black object as brown dog lunges endseq
1030985833_b0902ea560.jpg,startseq the chocolate lab jumps too late to get the toy as the black lab captures it in the driveway endseq
103106960_e8a41d64f8.jpg,startseq boy with stick kneeling in front of goalie net endseq
103106960_e8a41d64f8.jpg,startseq child in red jacket playing street hockey guarding goal endseq
103106960_e8a41d64f8.jpg,startseq young kid playing the goalie in hockey rink endseq
103106960_e8a41d64f8.jpg,startseq young male kneeling in front of hockey goal with hockey stick in his right hand endseq
103106960_e8a41d64f8.jpg,startseq hockey goalie boy in red jacket crouches by goal with stick endseq
103195344_5d2dc613a3.jpg,startseq man in black is sitting next to modern art structure in front of glass building endseq
103195344_5d2dc613a3.jpg,startseq man sits and reads newspaper by sculpture outside of an office building endseq
103195344_5d2dc613a3.jpg,startseq man sits near large statue endseq
103195344_5d2dc613a3.jpg,startseq man sitting in front of metal sculpture in front of building endseq
103195344_5d2dc613a3.jpg,startseq the man with the backpack is sitting in buildings courtyard in front of an art sculpture reading endseq
103205630_682ca7285b.jpg,startseq tent is being set up on the ice endseq
103205630_682ca7285b.jpg,startseq two men are about to enter an ice fishing tent on snow covered lake endseq
103205630_682ca7285b.jpg,startseq two men setting up blue ice fishing hut on an iced over lake endseq
103205630_682ca7285b.jpg,startseq two men standing on an ice looking into something covered with blue tarp endseq
103205630_682ca7285b.jpg,startseq two people standing outside blue tent structure on snowy surface endseq
1032122270_ea6f0beedb.jpg,startseq woman crouches near three dogs in field endseq
1032122270_ea6f0beedb.jpg,startseq three dogs are playing on grassy hill with blue sky endseq
1032122270_ea6f0beedb.jpg,startseq three dogs are standing in the grass and person is sitting next to them endseq
1032122270_ea6f0beedb.jpg,startseq three dogs on grassy hill endseq
1032122270_ea6f0beedb.jpg,startseq three dogs stand in grassy field while person kneels nearby endseq
1032460886_4a598ed535.jpg,startseq man is standing in front of skyscraper endseq
1032460886_4a598ed535.jpg,startseq man stands in front of skyscraper endseq
1032460886_4a598ed535.jpg,startseq man stands in front of very tall building endseq
1032460886_4a598ed535.jpg,startseq behind the man in red shirt stands large skyscraper endseq
1032460886_4a598ed535.jpg,startseq there is skyscraper in the distance with man walking in front of the camera endseq
1034276567_49bb87c51c.jpg,startseq boy bites hard into treat while he sits outside endseq
1034276567_49bb87c51c.jpg,startseq child biting into baked good endseq
1034276567_49bb87c51c.jpg,startseq small boy putting something in his mouth with both hands endseq
1034276567_49bb87c51c.jpg,startseq the boy eats his food outside at the table endseq
1034276567_49bb87c51c.jpg,startseq the boy is eating pizza over tin dish endseq
104136873_5b5d41be75.jpg,startseq people sit on the mountainside and check out the view endseq
104136873_5b5d41be75.jpg,startseq three people are on hilltop overlooking green valley endseq
104136873_5b5d41be75.jpg,startseq three people hang out on top of big hill endseq
104136873_5b5d41be75.jpg,startseq three people overlook green valley endseq
104136873_5b5d41be75.jpg,startseq three people rest on ledge above the moutains endseq
1042020065_fb3d3ba5ba.jpg,startseq boy in green shirt is looking down at many inflatable boats endseq
1042020065_fb3d3ba5ba.jpg,startseq boy in green shirt watches kayakers endseq
1042020065_fb3d3ba5ba.jpg,startseq boy looks over railing at the many boats and rafts below in the water endseq
1042020065_fb3d3ba5ba.jpg,startseq young boy overlooking crowd of inflatable boats endseq
1042020065_fb3d3ba5ba.jpg,startseq young boy wearing jersey looks down over ledge at many boats in the water endseq
1042590306_95dea0916c.jpg,startseq man and woman pose for the camera while another man looks on endseq
1042590306_95dea0916c.jpg,startseq man is holding the hand of woman up to his mouth in front of some buildings while another man looks on endseq
1042590306_95dea0916c.jpg,startseq multiracial couple posing for picture endseq
1042590306_95dea0916c.jpg,startseq asian man and blond woman holding hands outdoors man in background watches endseq
1042590306_95dea0916c.jpg,startseq guy in blue shirt biting hand of girl in black striped jacket while another guy watches endseq
1045521051_108ebc19be.jpg,startseq person eats takeout while watching small television endseq
1045521051_108ebc19be.jpg,startseq person sits on the floor and eats in front of television endseq
1045521051_108ebc19be.jpg,startseq television with picture of girl on it endseq
1045521051_108ebc19be.jpg,startseq young man sits on the floor by the television with fast food meal in front of him endseq
1045521051_108ebc19be.jpg,startseq someone is laying in front of the tv eating food endseq
1048710776_bb5b0a5c7c.jpg,startseq couple of several people sitting on ledge overlooking the beach endseq
1048710776_bb5b0a5c7c.jpg,startseq group of people sit on wall at the beach endseq
1048710776_bb5b0a5c7c.jpg,startseq group of teens sit on wall by beach endseq
1048710776_bb5b0a5c7c.jpg,startseq crowd of people at the beach endseq
1048710776_bb5b0a5c7c.jpg,startseq several young people sitting on rail above crowded beach endseq
1052358063_eae6744153.jpg,startseq boy takes jump on his skateboard while another boy with skateboard watches endseq
1052358063_eae6744153.jpg,startseq child is performing skateboard trick while another child with skateboard leans on wall endseq
1052358063_eae6744153.jpg,startseq little boy skateboarder is doing trick on his board while another young skateboarder watches endseq
1052358063_eae6744153.jpg,startseq young boy skateboarder jumping on platform on skateboard endseq
1052358063_eae6744153.jpg,startseq two skateboarders endseq
105342180_4d4a40b47f.jpg,startseq girl paddling down large river as seen from behind her endseq
105342180_4d4a40b47f.jpg,startseq woman kayaking down river endseq
105342180_4d4a40b47f.jpg,startseq woman paddles boat down river endseq
105342180_4d4a40b47f.jpg,startseq woman with paddle endseq
105342180_4d4a40b47f.jpg,startseq woman with paddle sits in boat on the water endseq
1053804096_ad278b25f1.jpg,startseq girl in pigtails splashes in the shallow water endseq
1053804096_ad278b25f1.jpg,startseq girls plays in the surf endseq
1053804096_ad278b25f1.jpg,startseq girl with pigtails is playing in the ocean by the beach endseq
1053804096_ad278b25f1.jpg,startseq girl with pigtails plays in the water endseq
1053804096_ad278b25f1.jpg,startseq young girl in pigtails plays in the water endseq
1055623002_8195a43714.jpg,startseq group of four children wearing pajamas have pillow fight endseq
1055623002_8195a43714.jpg,startseq group of kids have pillow-fight endseq
1055623002_8195a43714.jpg,startseq group of young children playing pillow fight on bed endseq
1055623002_8195a43714.jpg,startseq children having pillow fight endseq
1055623002_8195a43714.jpg,startseq four children are having pillow fight endseq
1055753357_4fa3d8d693.jpg,startseq two constructions workers sit on beam taking break endseq
1055753357_4fa3d8d693.jpg,startseq two construction workers are sitting up on the side of building endseq
1055753357_4fa3d8d693.jpg,startseq two construction workers sitting on an i-beam endseq
1055753357_4fa3d8d693.jpg,startseq two construction workers take seat on steel beam endseq
1055753357_4fa3d8d693.jpg,startseq two men take break from construction endseq
1056249424_ef2a2e041c.jpg,startseq the children are playing in the water endseq
1056249424_ef2a2e041c.jpg,startseq two boys one with yellow and orange ball play in some water in front of field endseq
1056249424_ef2a2e041c.jpg,startseq two boys play in puddle endseq
1056249424_ef2a2e041c.jpg,startseq two children play with balloon in mud on sunny day endseq
1056249424_ef2a2e041c.jpg,startseq two kids are running and playing in some water endseq
1056338697_4f7d7ce270.jpg,startseq blond woman in blue shirt appears to wait for ride endseq
1056338697_4f7d7ce270.jpg,startseq blond woman is on the street hailing taxi endseq
1056338697_4f7d7ce270.jpg,startseq woman is signaling is to traffic as seen from behind endseq
1056338697_4f7d7ce270.jpg,startseq woman with blonde hair wearing blue tube top is waving on the side of the street endseq
1056338697_4f7d7ce270.jpg,startseq the woman in the blue dress is holding out her arm at oncoming traffic endseq
1056359656_662cee0814.jpg,startseq little girl looking at brochure on train rides endseq
1056359656_662cee0814.jpg,startseq young blond girl with magizine in her hands endseq
1056359656_662cee0814.jpg,startseq young girl on train reads book about train rides endseq
1056359656_662cee0814.jpg,startseq young girl sits on seat and looks at train pamphlet endseq
1056359656_662cee0814.jpg,startseq child sitting down looking at train ride brochure endseq
1056873310_49c665eb22.jpg,startseq brown dog is running after black dog on rocky shore endseq
1056873310_49c665eb22.jpg,startseq brown dog is running after the black dog endseq
1056873310_49c665eb22.jpg,startseq two dogs playing on beach endseq
1056873310_49c665eb22.jpg,startseq two dogs run across stones near body of water endseq
1056873310_49c665eb22.jpg,startseq two dogs run towards each other on rocky area with water in the background endseq
1057089366_ca83da0877.jpg,startseq boy descends off the end of high diving board endseq
1057089366_ca83da0877.jpg,startseq child jumps off high diving board into the pool endseq
1057089366_ca83da0877.jpg,startseq kid jumps off the diving board and into the swimming pool below endseq
1057089366_ca83da0877.jpg,startseq little kid is jumping off high dive at the pool endseq
1057089366_ca83da0877.jpg,startseq the boy is jumping off high diving board into the pool endseq
1057210460_09c6f4c6c1.jpg,startseq guy stands by window taking his overshirt off endseq
1057210460_09c6f4c6c1.jpg,startseq man in tank top stands next to chrome door endseq
1057210460_09c6f4c6c1.jpg,startseq man puts his shirt on near an elevator endseq
1057210460_09c6f4c6c1.jpg,startseq man stands by an elevator with his head down endseq
1057210460_09c6f4c6c1.jpg,startseq the man is putting on his shirt near an elevator endseq
1057251835_6ded4ada9c.jpg,startseq light-colored dog runs on the beach endseq
1057251835_6ded4ada9c.jpg,startseq small yellow dog runs on beach endseq
1057251835_6ded4ada9c.jpg,startseq tan dog runs on sandy beach endseq
1057251835_6ded4ada9c.jpg,startseq white dog is running down rocky beach endseq
1057251835_6ded4ada9c.jpg,startseq light brown dog running along the beach endseq
106490881_5a2dd9b7bd.jpg,startseq boy in his blue swim shorts at the beach endseq
106490881_5a2dd9b7bd.jpg,startseq boy smiles for the camera at beach endseq
106490881_5a2dd9b7bd.jpg,startseq young boy in swimming trunks is walking with his arms outstretched on the beach endseq
106490881_5a2dd9b7bd.jpg,startseq children playing on the beach endseq
106490881_5a2dd9b7bd.jpg,startseq the boy is playing on the shore of an ocean endseq
106514190_bae200f463.jpg,startseq hiker standing high on bluff overlooking the mountains below endseq
106514190_bae200f463.jpg,startseq person on ski 's looks from hill over snow covered landscape endseq
106514190_bae200f463.jpg,startseq skier is overlooking snow-covered mountain endseq
106514190_bae200f463.jpg,startseq skier is overlooking the beautiful white snow covered landscape endseq
106514190_bae200f463.jpg,startseq skier pauses on mountaintop endseq
1067180831_a59dc64344.jpg,startseq black and white dog is attempting to catch yellow and purple object in low cut yard endseq
1067180831_a59dc64344.jpg,startseq black and white dog jumps after yellow toy endseq
1067180831_a59dc64344.jpg,startseq black and white dog jumps to get the frisbee endseq
1067180831_a59dc64344.jpg,startseq black dog is jumping up to catch purple and green toy endseq
1067180831_a59dc64344.jpg,startseq dog jumps to catch toy endseq
1067675215_7336a694d6.jpg,startseq man in blue shorts is laying in the street endseq
1067675215_7336a694d6.jpg,startseq man in blue shorts lays down outside in parking lot endseq
1067675215_7336a694d6.jpg,startseq man laying down in middle of street during heavy traffic endseq
1067675215_7336a694d6.jpg,startseq man lies on mat in parking lot between brown suv and yellow pickup with an open door endseq
1067675215_7336a694d6.jpg,startseq shirtless man is laying down in the middle of busy street endseq
1067790824_f3cc97239b.jpg,startseq white and black dog and brown dog in sandy terrain endseq
1067790824_f3cc97239b.jpg,startseq woolly dog chases doberman on beach endseq
1067790824_f3cc97239b.jpg,startseq one dog is chasing another one on the beach endseq
1067790824_f3cc97239b.jpg,startseq the two large dogs are running through sand endseq
1067790824_f3cc97239b.jpg,startseq two large dogs chasing each other at the beach endseq
1072153132_53d2bb1b60.jpg,startseq black and white dog catches toy in midair endseq
1072153132_53d2bb1b60.jpg,startseq dog and tennis ball endseq
1072153132_53d2bb1b60.jpg,startseq dog is jumping to catch object thrown at it endseq
1072153132_53d2bb1b60.jpg,startseq dog leaps while chasing tennis ball through grassy field endseq
1072153132_53d2bb1b60.jpg,startseq multicolor dog jumping to catch tennis ball in grassy field endseq
107318069_e9f2ef32de.jpg,startseq crowd watching air balloons at night endseq
107318069_e9f2ef32de.jpg,startseq group of hot air balloons lit up at night endseq
107318069_e9f2ef32de.jpg,startseq people are watching hot air balloons in the park endseq
107318069_e9f2ef32de.jpg,startseq people watching hot air balloons endseq
107318069_e9f2ef32de.jpg,startseq seven large balloons are lined up at nighttime near crowd endseq
1075716537_62105738b4.jpg,startseq child with helmet on his head rides bike endseq
1075716537_62105738b4.jpg,startseq little boy rides bike down hill on miniature dirt bike endseq
1075716537_62105738b4.jpg,startseq young boy in helmet rides bike on the road endseq
1075716537_62105738b4.jpg,startseq the little boy rides his bicycle in race endseq
1075716537_62105738b4.jpg,startseq the young boy pedals quickly at bmx race endseq
107582366_d86f2d3347.jpg,startseq group of eight people are gathered around table at night endseq
107582366_d86f2d3347.jpg,startseq group of people gathered around in the dark endseq
107582366_d86f2d3347.jpg,startseq group of people sit around table outside on porch at night endseq
107582366_d86f2d3347.jpg,startseq group of people sit outdoors together at night endseq
107582366_d86f2d3347.jpg,startseq group of people sitting at table in darkened room endseq
1075867198_27ca2e7efe.jpg,startseq man in brown shirt and dark shorts plays on the beach with his two black dogs endseq
1075867198_27ca2e7efe.jpg,startseq man in shorts with two black dogs holds ball throwing toy at the beach endseq
1075867198_27ca2e7efe.jpg,startseq man playing with two black dogs on the beach endseq
1075867198_27ca2e7efe.jpg,startseq man with two dogs on beach endseq
1075867198_27ca2e7efe.jpg,startseq man at the beach with two dogs endseq
1075881101_d55c46bece.jpg,startseq boy cleans the bubbles off his face endseq
1075881101_d55c46bece.jpg,startseq boy covered in suds has his face wiped clean endseq
1075881101_d55c46bece.jpg,startseq boy is covered in bubbles endseq
1075881101_d55c46bece.jpg,startseq child covered in foam is climbing on black inflatable ramp endseq
1075881101_d55c46bece.jpg,startseq person covered in soapy water is getting cleaned off endseq
1077546505_a4f6c4daa9.jpg,startseq boy in blue shorts slides down slide into pool endseq
1077546505_a4f6c4daa9.jpg,startseq boy in blue swimming trunks slides down yellow slide into wading pool with inflatable toys floating in the water endseq
1077546505_a4f6c4daa9.jpg,startseq boy rides down slide into small backyard pool endseq
1077546505_a4f6c4daa9.jpg,startseq boy sliding down slide into pool with colorful tubes endseq
1077546505_a4f6c4daa9.jpg,startseq child is falling off slide onto colored balloons floating on pool of water endseq
1077931201_1e0bb83105.jpg,startseq man in wetsuit is throwing baby wearing wetsuit up into the air endseq
1077931201_1e0bb83105.jpg,startseq man in wetsuit is throwing toddler up in the air and is ready to catch him endseq
1077931201_1e0bb83105.jpg,startseq man in water throwing little boy up in the air and waiting for him to come down so he can catch him endseq
1077931201_1e0bb83105.jpg,startseq the man is in the pool and throwing small boy into the air endseq
1077931201_1e0bb83105.jpg,startseq while water droplets fly man throws little boy up in the air endseq
1079274291_9aaf896cc1.jpg,startseq little boy sticks his tongue out for the camera another boy looks on endseq
1079274291_9aaf896cc1.jpg,startseq two boys make faces endseq
1079274291_9aaf896cc1.jpg,startseq two young boys are looking at the camera one smiling the other sticking his tongue out endseq
1079274291_9aaf896cc1.jpg,startseq two young boys look up at the camera as one sticks out his tongue endseq
1079274291_9aaf896cc1.jpg,startseq two young boys making silly faces endseq
10815824_2997e03d76.jpg,startseq blonde horse and blonde girl in black sweatshirt are staring at fire in barrel endseq
10815824_2997e03d76.jpg,startseq girl and her horse stand by fire endseq
10815824_2997e03d76.jpg,startseq girl holding horse 's lead behind fire endseq
10815824_2997e03d76.jpg,startseq man and girl and two horses are near contained fire endseq
10815824_2997e03d76.jpg,startseq two people and two horses watching fire endseq
1082252566_8c79beef93.jpg,startseq bulldog sheep dog and boxer standing in yard endseq
1082252566_8c79beef93.jpg,startseq large brown dog is pushing small boston terrier with his face while anouther dog watches endseq
1082252566_8c79beef93.jpg,startseq large skinny dog stands near two smaller dogs int the dirt endseq
1082252566_8c79beef93.jpg,startseq there are three dogs starring at ball in the middle of them endseq
1082252566_8c79beef93.jpg,startseq three dogs of various sizes endseq
1082379191_ec1e53f996.jpg,startseq lady and man with no shirt sit on dock endseq
1082379191_ec1e53f996.jpg,startseq man and woman are sitting on dock together endseq
1082379191_ec1e53f996.jpg,startseq man and woman sitting on dock endseq
1082379191_ec1e53f996.jpg,startseq man and woman sitting on deck next to lake endseq
1082379191_ec1e53f996.jpg,startseq shirtless man and woman sitting on dock endseq
1084040636_97d9633581.jpg,startseq closeup of white dog that is laying its head on its paws endseq
1084040636_97d9633581.jpg,startseq large white dog lying on the floor endseq
1084040636_97d9633581.jpg,startseq white dog has its head on the ground endseq
1084040636_97d9633581.jpg,startseq white dog is resting its head on tiled floor with its eyes open endseq
1084040636_97d9633581.jpg,startseq white dog rests its head on the patio bricks endseq
1084104085_3b06223afe.jpg,startseq woman in yellow shirt and green shorts is climbing an artificial red wall whilst wearing safety harness endseq
1084104085_3b06223afe.jpg,startseq woman in blue shorts and white shirt is indoor rock climbing endseq
1084104085_3b06223afe.jpg,startseq the girl is climbing rock wall endseq
1084104085_3b06223afe.jpg,startseq the girl is in harness climbing rocks endseq
1084104085_3b06223afe.jpg,startseq woman climbing an artificial rock wall endseq
1087168168_70280d024a.jpg,startseq boy is jumping on an inflatable ring and girl is watching him endseq
1087168168_70280d024a.jpg,startseq boy jumping on water jumphouse endseq
1087168168_70280d024a.jpg,startseq teenage boy is jumping on an inflatable slide endseq
1087168168_70280d024a.jpg,startseq young boy jumping and young girl seating in an inflatable pool endseq
1087168168_70280d024a.jpg,startseq two young kids are playing in the water on an inflated toy endseq
1087539207_9f77ab3aaf.jpg,startseq family playing on tractor on beautiful day endseq
1087539207_9f77ab3aaf.jpg,startseq children ride tractor in field endseq
1087539207_9f77ab3aaf.jpg,startseq several children playing on polaris vehicle outdoors endseq
1087539207_9f77ab3aaf.jpg,startseq the children played on the four wheeler in the field endseq
1087539207_9f77ab3aaf.jpg,startseq the four kids are riding on an atv in field endseq
1088767354_2acee738cf.jpg,startseq woman in red costume to the left of man and woman standing together endseq
1088767354_2acee738cf.jpg,startseq woman wearing red costume looks at two other people standing on street endseq
1088767354_2acee738cf.jpg,startseq young woman in red sequined costume and feather stands on the sidewalk endseq
1088767354_2acee738cf.jpg,startseq the girl in the salmon colored bikini is standing next to two young people one is wearing black outfit and the other is drinking pop endseq
1088767354_2acee738cf.jpg,startseq two young people are approached by flamboyant young woman dressed in red bikini and red feathered headress endseq
108898978_7713be88fc.jpg,startseq skiiers walking up the hill through forest endseq
108898978_7713be88fc.jpg,startseq two men are skiing in the snow in wooded area endseq
108898978_7713be88fc.jpg,startseq two people wearing yellow jackets cross-country skiing endseq
108898978_7713be88fc.jpg,startseq two skiers are making their way through woodland endseq
108898978_7713be88fc.jpg,startseq two skiers are sliding down trail in the woods endseq
